"","x","y","c.1","c.2","c.3"
"193023",23,114,0.141176470588235,0.219607843137255,0.568627450980392
"216448",448,68,0.141176470588235,0.219607843137255,0.568627450980392
"212883",383,75,0.404036824834379,0.435164036067288,0.528578961831348
"35050",50,430,0.900786722267241,0.145297693426396,0.157504626728091
"140865",365,219,0.950097374726525,0.946510945304752,0.83552986984065
"217169",169,66,0.141176470588235,0.219607843137255,0.568627450980392
"27402",402,446,0.141176470588235,0.219607843137255,0.568627450980392
"249012",12,2,0.131014193386852,0.22511306198457,0.581090089667152
"7069",69,486,0.141176470588235,0.216480142479291,0.576051653893325
"62932",432,375,0.141176470588235,0.219607843137255,0.568627450980392
"182572",72,135,0.141176470588235,0.219607843137255,0.568627450980392
"5775",275,489,0.141176470588235,0.219607843137255,0.568627450980392
"178788",288,143,0.311854906055116,0.487296239292783,0.337481960805156
"89643",143,321,0.141176470588235,0.219607843137255,0.568627450980392
"99481",481,302,0.141176470588235,0.219607843137255,0.568627450980392
"1791",291,497,0.141176470588235,0.219607843137255,0.568627450980392
"238922",422,23,0.141176470588235,0.219607843137255,0.568627450980392
"1924",424,497,0.141176470588235,0.219607843137255,0.568627450980392
"217434",434,66,0.141176470588235,0.219607843137255,0.568627450980392
"226428",428,48,0.141176470588235,0.219607843137255,0.568627450980392
"108713",213,283,0.141642149552977,0.219978027891423,0.57494043647658
"223626",126,53,0.141176470588235,0.219607843137255,0.568627450980392
"199779",279,101,0.53810339661487,0.655750455438399,0.545946533869772
"71613",113,357,0.141176470588235,0.219607843137255,0.568627450980392
"65588",88,369,0.404046510331241,0.413029154990523,0.368742137046921
"225407",407,50,0.141176470588235,0.219607843137255,0.568627450980392
"60941",441,379,0.141176470588235,0.219607843137255,0.568627450980392
"94567",67,311,0.141176470588235,0.219607843137255,0.568627450980392
"150882",382,199,0.141176470588235,0.219607843137255,0.568627450980392
"148179",179,204,0.141176470588235,0.219607843137255,0.568627450980392
"216976",476,67,0.141176470588235,0.219607843137255,0.568627450980392
"108215",215,284,0.499376753004095,0.591665959804534,0.597162068462821
"152476",476,196,0.141176470588235,0.219607843137255,0.568627450980392
"130958",458,239,0.141176470588235,0.219607843137255,0.568627450980392
"35061",61,430,0.142585507990488,0.216040516002553,0.577479545545739
"131609",109,237,0.141176470588235,0.219607843137255,0.568627450980392
"150399",399,200,0.141176470588235,0.219607843137255,0.568627450980392
"126165",165,248,0.538703287662934,0.532777715151329,0.51810104904886
"94499",499,312,0.140598055402678,0.218133747720332,0.574890737803102
"173307",307,154,0.454213474052252,0.59284534947716,0.466666666666667
"247611",111,5,0.141176470588235,0.219607843137255,0.568627450980392
"163694",194,173,0.663262888869878,0.745765447977785,0.669597799795475
"14718",218,471,0.318136420145796,0.327217430387386,0.236677255861898
"189388",388,122,0.995647811736126,0.999569380363577,1
"178844",344,143,0.141176470588235,0.219607843137255,0.568627450980392
"204409",409,92,0.20542995686974,0.218130456063831,0.223923611314758
"123068",68,254,0.141176470588235,0.219607843137255,0.568627450980392
"249978",478,1,0.226452592210068,0.292346212227908,0.615629939126489
"96272",272,308,0.154591064602927,0.220124784785995,0.56828333938397
"97940",440,305,0.141176470588235,0.219607843137255,0.568627450980392
"231496",496,38,0.141176470588235,0.219607843137255,0.568627450980392
"219531",31,61,0.141176470588235,0.219607843137255,0.568627450980392
"12061",61,476,0.141176470588235,0.219607843137255,0.568627450980392
"57508",8,385,0.141176470588235,0.219607843137255,0.568627450980392
"142094",94,216,0.141176470588235,0.219607843137255,0.568627450980392
"45439",439,410,0.141176470588235,0.219607843137255,0.568627450980392
"190622",122,119,0.14037875115672,0.215197998349022,0.587101686202286
"36120",120,428,0.141176470588235,0.219607843137255,0.568627450980392
"61607",107,377,0.49600108950213,0.515876948578615,0.322488010709614
"208284",284,84,0.228630755899978,0.417217826643575,0.248411690906289
"223762",262,53,0.141176470588235,0.219607843137255,0.568627450980392
"2842",342,495,0.141176470588235,0.219607843137255,0.568627450980392
"220897",397,59,0.201342628964402,0.214262196424891,0.207646375085671
"216343",343,68,0.141176470588235,0.219607843137255,0.568627450980392
"239155",155,22,0.141176470588235,0.219607843137255,0.568627450980392
"85374",374,330,0.253639153198198,0.255524991609161,0.246738935148777
"94429",429,312,0.141176470588235,0.219607843137255,0.568627450980392
"108612",112,283,0.141176470588235,0.219607843137255,0.568627450980392
"91068",68,318,0.141176470588235,0.219607843137255,0.568627450980392
"236832",332,27,0.141176470588235,0.219607843137255,0.568627450980392
"209437",437,82,0.736076103098299,0.761967076011109,0.78797966279916
"69680",180,361,0.146125471831012,0.211423210730841,0.587174342069822
"59880",380,381,0.141176470588235,0.219607843137255,0.568627450980392
"81492",492,338,0.141176470588235,0.219607843137255,0.568627450980392
"175426",426,150,0.141176470588235,0.219607843137255,0.568627450980392
"182363",363,136,0.921660666369591,0.8259676628251,0.0889928582680663
"138982",482,223,0.141176470588235,0.219607843137255,0.568627450980392
"109155",155,282,0.141176470588235,0.219607843137255,0.568627450980392
"249561",61,1,0.226452592210068,0.292346212227908,0.615629939126489
"67976",476,365,0.141176470588235,0.219607843137255,0.568627450980392
"189179",179,122,0.141176470588235,0.219607843137255,0.568627450980392
"77033",33,346,0.141176470588235,0.219607843137255,0.568627450980392
"223645",145,53,0.141176470588235,0.219607843137255,0.568627450980392
"223097",97,54,0.141176470588235,0.219607843137255,0.568627450980392
"124957",457,251,0.141158229540436,0.219615723476601,0.568661597395082
"236361",361,28,0.141176470588235,0.219607843137255,0.568627450980392
"217137",137,66,0.141176470588235,0.219607843137255,0.568627450980392
"153666",166,193,0.148219842107109,0.214560574493446,0.566212718642061
"156247",247,188,0.344552342510105,0.513982532224495,0.351018826681892
"131544",44,237,0.141176470588235,0.219607843137255,0.568627450980392
"129047",47,242,0.141176470588235,0.219607843137255,0.568627450980392
"239172",172,22,0.141176470588235,0.219607843137255,0.568627450980392
"67322",322,366,0.21271158678849,0.209888527131074,0.226411976165961
"3492",492,494,0.141176470588235,0.219607843137255,0.568627450980392
"104481",481,292,0.141176470588235,0.219607843137255,0.568627450980392
"38272",272,424,0.141176470588235,0.219607843137255,0.568627450980392
"94872",372,311,0.836903572318016,0.838687526123002,0.808141229392019
"70280",280,360,0.141176470588235,0.219607843137255,0.568627450980392
"63262",262,374,0.98394910434173,0.797707517131492,0.0319965961067971
"63964",464,373,0.141176470588235,0.219607843137255,0.568627450980392
"157803",303,185,0.51418101859475,0.633780313932222,0.537758778609755
"161419",419,178,0.141176470588235,0.219607843137255,0.568627450980392
"75787",287,349,0.141176470588235,0.219607843137255,0.568627450980392
"193408",408,114,0.993121223363516,0.993121223363516,0.993121223363516
"92170",170,316,0.141176470588235,0.219607843137255,0.568627450980392
"90720",220,319,0.140841231478802,0.219272604027821,0.568292211870959
"174453",453,152,0.141176470588235,0.219607843137255,0.568627450980392
"240382",382,20,0.593862609134195,0.626637121336668,0.728913151951347
"166929",429,167,0.141176470588235,0.219607843137255,0.568627450980392
"106743",243,287,0.254303247911574,0.438493044515365,0.283694741628692
"184057",57,132,0.141176470588235,0.219607843137255,0.568627450980392
"4229",229,492,0.141176470588235,0.219607843137255,0.568627450980392
"56197",197,388,0.441489917760348,0.432293418777226,0.326186285830794
"215851",351,69,0.141176470588235,0.219607843137255,0.568627450980392
"23083",83,454,0.435294117647059,0.576470588235294,0.286274509803922
"107280",280,286,0.468243738740965,0.596510187844812,0.477162641359185
"212983",483,75,0.141176470588235,0.219607843137255,0.568627450980392
"224947",447,51,0.141176470588235,0.219607843137255,0.568627450980392
"114622",122,271,0.141176470588235,0.219607843137255,0.568627450980392
"80631",131,339,0.141176470588235,0.219607843137255,0.568627450980392
"93262",262,314,0.644810163960063,0.700427738791055,0.820149064843575
"77004",4,346,0.141176470588235,0.219607843137255,0.568627450980392
"102490",490,296,0.141176470588235,0.219607843137255,0.568627450980392
"80262",262,340,0.141176470588235,0.219607843137255,0.568627450980392
"232618",118,35,0.141176470588235,0.219607843137255,0.568627450980392
"182270",270,136,0.287130502407116,0.451836384760058,0.30281677691692
"47815",315,405,0.141176470588235,0.219607843137255,0.568627450980392
"14188",188,472,0.314753458502232,0.332313173022427,0.252811266277433
"60702",202,379,0.29882897554443,0.338824801634419,0.542397342711678
"150973",473,199,0.141176470588235,0.219607843137255,0.568627450980392
"226710",210,47,0.141176470588235,0.219607843137255,0.568627450980392
"245718",218,9,0.141176470588235,0.219607843137255,0.568627450980392
"157330",330,186,0.141176470588235,0.219607843137255,0.568627450980392
"107101",101,286,0.141176470588235,0.219607843137255,0.568627450980392
"125103",103,250,0.141176470588235,0.219607843137255,0.568627450980392
"105072",72,290,0.141176470588235,0.219607843137255,0.568627450980392
"138560",60,223,0.141176470588235,0.219607843137255,0.568627450980392
"191443",443,118,0.141176470588235,0.219607843137255,0.568627450980392
"109612",112,281,0.141176470588235,0.219607843137255,0.568627450980392
"111835",335,277,0.141176470588235,0.219607843137255,0.568627450980392
"109910",410,281,0.673555361334616,0.690603532453834,0.702523623125794
"221793",293,57,0.156515610551769,0.234729103344587,0.583770007912464
"158212",212,184,0.344596375951647,0.511817529993153,0.353631768071433
"20040",40,460,0.435294117647059,0.576470588235294,0.286274509803922
"71029",29,358,0.141176470588235,0.219607843137255,0.568627450980392
"90040",40,320,0.141176470588235,0.219607843137255,0.568627450980392
"239471",471,22,0.141176470588235,0.219607843137255,0.568627450980392
"133974",474,233,0.141176470588235,0.219607843137255,0.568627450980392
"46241",241,408,0.141176470588235,0.219607843137255,0.568627450980392
"163891",391,173,0.141176470588235,0.219607843137255,0.568627450980392
"115948",448,269,0.214313984464845,0.214313984464845,0.214313984464845
"9882",382,481,0.141176470588235,0.219607843137255,0.568627450980392
"149937",437,201,0.141176470588235,0.219607843137255,0.568627450980392
"164956",456,171,0.141176470588235,0.219607843137255,0.568627450980392
"248118",118,4,0.141176470588235,0.219607843137255,0.568627450980392
"21815",315,457,0.141176470588235,0.219607843137255,0.568627450980392
"114306",306,272,0.141176470588235,0.219607843137255,0.568627450980392
"122292",292,256,0.602884130134253,0.697217970642782,0.613734725264801
"90755",255,319,0.450980392156863,0.596078431372549,0.466666666666667
"89144",144,322,0.141176470588235,0.219607843137255,0.568627450980392
"213501",1,73,0.141176470588235,0.219607843137255,0.568627450980392
"145147",147,210,0.985423454685478,0.985423454685478,0.985423454685478
"15214",214,470,0.336456934492358,0.323944223354275,0.220925575396757
"180879",379,139,0.420451359828343,0.46636414431473,0.494056850456075
"206235",235,88,0.243137254901961,0.427450980392157,0.247058823529412
"49891",391,401,0.141176470588235,0.219607843137255,0.568627450980392
"67410",410,366,0.141176470588235,0.219607843137255,0.568627450980392
"139808",308,221,0.147062060927838,0.215569519746541,0.576116580999627
"234155",155,32,0.141176470588235,0.219607843137255,0.568627450980392
"132632",132,235,0.949019607843137,0.843137254901961,0.188235294117647
"193576",76,113,0.141176470588235,0.219607843137255,0.568627450980392
"200596",96,99,0.141176470588235,0.219607843137255,0.568627450980392
"65507",7,369,0.141176470588235,0.219607843137255,0.568627450980392
"211862",362,77,0.141176470588235,0.219607843137255,0.568627450980392
"26771",271,447,0.141176470588235,0.219607843137255,0.568627450980392
"82644",144,335,0.141176470588235,0.219607843137255,0.568627450980392
"63413",413,374,0.141176470588235,0.219607843137255,0.568627450980392
"189222",222,122,0.256827493713362,0.376686500920996,0.217176728305475
"105514",14,289,0.141176470588235,0.219607843137255,0.568627450980392
"100319",319,300,0.141176470588235,0.219607843137255,0.568627450980392
"155020",20,190,0.141176470588235,0.219607843137255,0.568627450980392
"162102",102,176,0.202060480510711,0.197344670135928,0.197840368456764
"50280",280,400,0.141176470588235,0.219607843137255,0.568627450980392
"37002",2,426,0.141176470588235,0.219607843137255,0.568627450980392
"27768",268,445,0.141176470588235,0.219607843137255,0.568627450980392
"125323",323,250,0.141176470588235,0.219607843137255,0.568627450980392
"43464",464,414,0.141176470588235,0.219607843137255,0.568627450980392
"220929",429,59,0.141176470588235,0.219607843137255,0.568627450980392
"104187",187,292,0.141176470588235,0.219607843137255,0.568627450980392
"8523",23,483,0.141176470588235,0.219607843137255,0.568627450980392
"88190",190,324,0.144286646749475,0.224368153745266,0.573492419384839
"4345",345,492,0.141176470588235,0.219607843137255,0.568627450980392
"139166",166,222,0.139851822577372,0.218207121861421,0.572290396344122
"88382",382,324,0.942090681243796,0.948533898175388,0.839296878745718
"224751",251,51,0.141176470588235,0.219607843137255,0.568627450980392
"217442",442,66,0.141176470588235,0.219607843137255,0.568627450980392
"108160",160,284,0.141176470588235,0.219607843137255,0.568627450980392
"5446",446,490,0.141176470588235,0.219607843137255,0.568627450980392
"146975",475,207,0.141176470588235,0.219607843137255,0.568627450980392
"220178",178,60,0.141176470588235,0.219607843137255,0.568627450980392
"149162",162,202,0.203921568627451,0.2,0.192156862745098
"158910",410,183,0.141176470588235,0.219607843137255,0.568627450980392
"183221",221,134,0.274479893081623,0.458793618571819,0.291843139976418
"7557",57,485,0.141176470588235,0.219607843137255,0.568627450980392
"43256",256,414,0.141176470588235,0.219607843137255,0.568627450980392
"46961",461,407,0.141176470588235,0.219607843137255,0.568627450980392
"184122",122,132,0.141176470588235,0.219607843137255,0.568627450980392
"222349",349,56,0.141176470588235,0.219607843137255,0.568627450980392
"76896",396,347,0.141176470588235,0.219607843137255,0.568627450980392
"38224",224,424,0.199343497972053,0.252646261445149,0.452298236377471
"131461",461,238,0.141176470588235,0.219607843137255,0.568627450980392
"204935",435,91,0.429834763235979,0.461358759459239,0.498712747859603
"207849",349,85,0.141176470588235,0.219607843137255,0.568627450980392
"207037",37,86,0.141176470588235,0.219607843137255,0.568627450980392
"26571",71,447,0.433545922496682,0.578345747279274,0.284793712222977
"53262",262,394,0.141176470588235,0.219607843137255,0.568627450980392
"118454",454,264,0.158585418283805,0.230618458247176,0.565502423609132
"11357",357,478,0.141176470588235,0.219607843137255,0.568627450980392
"101121",121,298,0.141176470588235,0.219607843137255,0.568627450980392
"114793",293,271,0.141176470588235,0.219607843137255,0.568627450980392
"64519",19,371,0.141176470588235,0.219607843137255,0.568627450980392
"41785",285,417,0.141176470588235,0.219607843137255,0.568627450980392
"78897",397,343,0.141176470588235,0.219607843137255,0.568627450980392
"62430",430,376,0.141176470588235,0.219607843137255,0.568627450980392
"126334",334,248,0.141176470588235,0.219607843137255,0.568627450980392
"119127",127,262,0.141176470588235,0.219607843137255,0.568627450980392
"222823",323,55,0.141176470588235,0.219607843137255,0.568627450980392
"190798",298,119,0.3386783375612,0.507844815810245,0.364557640681863
"101596",96,297,0.141176470588235,0.219607843137255,0.568627450980392
"213005",5,74,0.141176470588235,0.219607843137255,0.568627450980392
"65155",155,370,0.809365284655814,0.812144836227644,0.796465742730897
"177248",248,146,0.254987654091962,0.37735652096057,0.211677190192404
"116320",320,268,0.141176470588235,0.219607843137255,0.568627450980392
"232489",489,36,0.141176470588235,0.219607843137255,0.568627450980392
"146308",308,208,0.143931764494707,0.214752722142654,0.584058063167095
"34440",440,432,0.141176470588235,0.219607843137255,0.568627450980392
"66040",40,368,0.141176470588235,0.219607843137255,0.568627450980392
"245455",455,10,0.141176470588235,0.219607843137255,0.568627450980392
"187044",44,126,0.141176470588235,0.215917140031761,0.578565731904258
"161900",400,177,0.141176470588235,0.219607843137255,0.568627450980392
"86835",335,327,0.780734971432822,0.760148627850768,0.727273800220272
"126742",242,247,0.266223038872267,0.379381465016405,0.221930255792973
"240526",26,19,0.141176470588235,0.219607843137255,0.568627450980392
"192850",350,115,0.141176470588235,0.219607843137255,0.568627450980392
"27446",446,446,0.141176470588235,0.219607843137255,0.568627450980392
"117017",17,266,0.141176470588235,0.219607843137255,0.568627450980392
"4920",420,491,0.141176470588235,0.219607843137255,0.568627450980392
"24915",415,451,0.141176470588235,0.219607843137255,0.568627450980392
"218558",58,63,0.141176470588235,0.219607843137255,0.568627450980392
"100685",185,299,0.141176470588235,0.219607843137255,0.568627450980392
"233700",200,33,0.141176470588235,0.219607843137255,0.568627450980392
"93547",47,313,0.141176470588235,0.219607843137255,0.568627450980392
"9318",318,482,0.141176470588235,0.219607843137255,0.568627450980392
"165493",493,170,0.141176470588235,0.219607843137255,0.568627450980392
"143333",333,214,0.141176470588235,0.219607843137255,0.568627450980392
"217499",499,66,0.140598055402678,0.218133747720332,0.574890737803102
"23454",454,454,0.141176470588235,0.219607843137255,0.568627450980392
"96885",385,307,0.25520843966947,0.251286871042019,0.243443733787117
"99741",241,301,0.40390831587752,0.553885625237018,0.40503189380031
"149750",250,201,0.29446445433417,0.471346377336089,0.301350585954044
"69786",286,361,0.141176470588235,0.219607843137255,0.568627450980392
"75450",450,350,0.141176470588235,0.219607843137255,0.568627450980392
"104426",426,292,0.368755372572066,0.37150015763693,0.376989727766658
"185770",270,129,0.345098039215686,0.509803921568627,0.36078431372549
"131753",253,237,0.253395932337632,0.44555279508273,0.261239069592534
"241531",31,17,0.141176470588235,0.219607843137255,0.568627450980392
"8987",487,483,0.141176470588235,0.219607843137255,0.568627450980392
"163342",342,174,0.141176470588235,0.219607843137255,0.568627450980392
"93924",424,313,0.141176470588235,0.219607843137255,0.568627450980392
"135402",402,230,0.141176470588235,0.219607843137255,0.568627450980392
"180349",349,140,0.141176470588235,0.219607843137255,0.568627450980392
"27129",129,446,0.141176470588235,0.219607843137255,0.568627450980392
"248157",157,4,0.141176470588235,0.219607843137255,0.568627450980392
"177135",135,146,0.789216638374526,0.766891142654459,0.741469066296313
"246592",92,7,0.141176470588235,0.219607843137255,0.568627450980392
"218366",366,64,0.141176470588235,0.219607843137255,0.568627450980392
"70772",272,359,0.141176470588235,0.219607843137255,0.568627450980392
"141008",8,218,0.141176470588235,0.219607843137255,0.568627450980392
"164874",374,171,0.918714420214023,0.8261402775676,0.0842559750907555
"33373",373,434,0.141176470588235,0.219607843137255,0.568627450980392
"22814",314,455,0.141176470588235,0.219607843137255,0.568627450980392
"60894",394,379,0.141176470588235,0.219607843137255,0.568627450980392
"22268",268,456,0.141176470588235,0.219607843137255,0.568627450980392
"110529",29,279,0.141176470588235,0.219607843137255,0.568627450980392
"95950",450,309,0.141176470588235,0.219607843137255,0.568627450980392
"163724",224,173,0.254949709612079,0.432860975458031,0.265584848513739
"152370",370,196,0.141176470588235,0.219607843137255,0.568627450980392
"120545",45,259,0.141176470588235,0.219607843137255,0.568627450980392
"29208",208,442,0.362103032965199,0.366695219332279,0.20415578437018
"170394",394,160,0.141176470588235,0.219410813983849,0.561791333247571
"47997",497,405,0.141176470588235,0.219607843137255,0.568627450980392
"75439",439,350,0.141176470588235,0.219607843137255,0.568627450980392
"14059",59,472,0.141176470588235,0.219607843137255,0.568627450980392
"193848",348,113,0.141176470588235,0.219607843137255,0.568627450980392
"132873",373,235,0.141176470588235,0.219607843137255,0.568627450980392
"181549",49,137,0.633591786932918,0.667400997165222,0.726639118550542
"207913",413,85,0.6608833174861,0.676623359163708,0.688438421706344
"50239",239,400,0.141176470588235,0.219607843137255,0.568627450980392
"189750",250,121,0.230872854548546,0.347330872652157,0.497499826697127
"223059",59,54,0.141176470588235,0.219607843137255,0.568627450980392
"245061",61,10,0.141176470588235,0.219607843137255,0.568627450980392
"59928",428,381,0.141176470588235,0.219607843137255,0.568627450980392
"124685",185,251,0.141176470588235,0.219607843137255,0.568627450980392
"150113",113,200,0.900241819624269,0.884656337669045,0.885033429562181
"165855",355,169,0.141176470588235,0.219607843137255,0.568627450980392
"235366",366,30,0.141176470588235,0.219607843137255,0.568627450980392
"36057",57,428,0.894117647058823,0.149019607843137,0.156862745098039
"142711",211,215,0.440100323695919,0.586834073323035,0.456807313154721
"46646",146,407,0.41052673126943,0.411054634771635,0.255368409696965
"27298",298,446,0.141176470588235,0.219607843137255,0.568627450980392
"218583",83,63,0.141176470588235,0.219607843137255,0.568627450980392
"113576",76,273,0.141176470588235,0.219607843137255,0.568627450980392
"167200",200,166,0.340372126504233,0.512166877924354,0.352941176470588
"66759",259,367,1,0.8,0.00392156862745098
"176489",489,148,0.141176470588235,0.219607843137255,0.568627450980392
"26904",404,447,0.141176470588235,0.219607843137255,0.568627450980392
"213744",244,73,0.297110415637432,0.479646446809677,0.315829411615711
"21506",6,457,0.141176470588235,0.219607843137255,0.568627450980392
"145888",388,209,0.141176470588235,0.219607843137255,0.568627450980392
"209291",291,82,0.297640113962281,0.473738143867971,0.311766251806848
"171429",429,158,0.141176470588235,0.219607843137255,0.568627450980392
"151751",251,197,0.340802777145269,0.508072243265025,0.343393729373696
"187344",344,126,0.141176470588235,0.219607843137255,0.568627450980392
"27479",479,446,0.141176470588235,0.219607843137255,0.568627450980392
"152963",463,195,0.141176470588235,0.219607843137255,0.568627450980392
"139455",455,222,0.141176470588235,0.219607843137255,0.568627450980392
"37736",236,425,0.141176470588235,0.219607843137255,0.568627450980392
"209317",317,82,0.137175685172468,0.213715765943449,0.602725133307136
"157561",61,185,0.141176470588235,0.219607843137255,0.568627450980392
"12268",268,476,0.141176470588235,0.219607843137255,0.568627450980392
"64435",435,372,0.141176470588235,0.219607843137255,0.568627450980392
"222464",464,56,0.141176470588235,0.219607843137255,0.568627450980392
"163972",472,173,0.141176470588235,0.219607843137255,0.568627450980392
"34782",282,431,0.141176470588235,0.219607843137255,0.568627450980392
